dataset,seed,method,rank,raw_common_bytes,common_stable_ids_bytes,common_cluster_ids_bytes,sketch_payload_bytes,model_payload_bytes,extra_budget_bytes,model_allocator_usable_bytes,sketch_mapping_length_bytes,sketch_page_reserved_bytes,diagnostic_reserved_lower_bound_bytes,payload_budget_pass,diagnostic_reserved_budget_pass,device_used_bytes,device_reserved_bytes,stage
gist960,17,G,16,384000000,800000,400000,32800000,311040,34032640,311064,32800128,32800768,33111832,1,1,0,0,CPU_oracle_A
gist960,17,G,32,384000000,800000,400000,39200000,372480,41415680,372504,39200128,39202816,39575320,1,1,0,0,CPU_oracle_A
gist960,17,L,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,17,L,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,17,Q,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,17,Q,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,17,H,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,17,H,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,29,G,16,384000000,800000,400000,32800000,311040,34032640,311064,32800128,32800768,33111832,1,1,0,0,CPU_oracle_A
gist960,29,G,32,384000000,800000,400000,39200000,372480,41415680,372504,39200128,39202816,39575320,1,1,0,0,CPU_oracle_A
gist960,29,L,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,29,L,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,29,Q,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,29,Q,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,29,H,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,29,H,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,43,G,16,384000000,800000,400000,32800000,311040,34032640,311064,32800128,32800768,33111832,1,1,0,0,CPU_oracle_A
gist960,43,G,32,384000000,800000,400000,39200000,372480,41415680,372504,39200128,39202816,39575320,1,1,0,0,CPU_oracle_A
gist960,43,L,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,43,L,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,43,Q,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,43,Q,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
gist960,43,H,16,384000000,800000,400000,32800000,1232640,34032640,1232664,32800128,32800768,34033432,1,0,0,0,CPU_oracle_A
gist960,43,H,32,384000000,800000,400000,39200000,2215680,41415680,2215704,39200128,39202816,41418520,1,0,0,0,CPU_oracle_A
