dataset,seed,method,rank,raw_common_bytes,common_stable_ids_bytes,common_cluster_ids_bytes,sketch_payload_bytes,model_payload_bytes,extra_budget_bytes,model_allocator_usable_bytes,sketch_mapping_length_bytes,sketch_page_reserved_bytes,diagnostic_reserved_lower_bound_bytes,payload_budget_pass,diagnostic_reserved_budget_pass,device_used_bytes,device_reserved_bytes,stage
sift128,17,G,16,51200000,800000,400000,13600000,16896,13739776,16920,13600128,13602816,13619736,1,1,0,0,CPU_oracle_A
sift128,17,G,32,51200000,800000,400000,20000000,25088,20270848,25112,20000128,20000768,20025880,1,1,0,0,CPU_oracle_A
sift128,17,L,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,17,L,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,17,Q,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,17,Q,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,17,H,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,17,H,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,29,G,16,51200000,800000,400000,13600000,16896,13739776,16920,13600128,13602816,13619736,1,1,0,0,CPU_oracle_A
sift128,29,G,32,51200000,800000,400000,20000000,25088,20270848,25112,20000128,20000768,20025880,1,1,0,0,CPU_oracle_A
sift128,29,L,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,29,L,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,29,Q,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,29,Q,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,29,H,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,29,H,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,43,G,16,51200000,800000,400000,13600000,16896,13739776,16920,13600128,13602816,13619736,1,1,0,0,CPU_oracle_A
sift128,43,G,32,51200000,800000,400000,20000000,25088,20270848,25112,20000128,20000768,20025880,1,1,0,0,CPU_oracle_A
sift128,43,L,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,43,L,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,43,Q,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,43,Q,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
sift128,43,H,16,51200000,800000,400000,13600000,139776,13739776,139800,13600128,13602816,13742616,1,0,0,0,CPU_oracle_A
sift128,43,H,32,51200000,800000,400000,20000000,270848,20270848,270872,20000128,20000768,20271640,1,0,0,0,CPU_oracle_A
