dataset,seed,component,bits,scope,seconds
sift128,17,database_model,,offline_CPU_not_query_latency,2.276410629041493
sift128,17,probe_fit_and_sketch,,offline_CPU_not_query_latency,14.31666347081773
sift128,17,official_encode_and_all_query_export,1,offline_CPU_including_IO_not_deployable_latency,0.624593
sift128,17,official_encode_and_all_query_export,2,offline_CPU_including_IO_not_deployable_latency,1.90253
sift128,17,official_encode_and_all_query_export,3,offline_CPU_including_IO_not_deployable_latency,2.50772
sift128,17,official_encode_and_all_query_export,4,offline_CPU_including_IO_not_deployable_latency,3.48852
sift128,17,official_encode_and_all_query_export,5,offline_CPU_including_IO_not_deployable_latency,2.92419
sift128,17,official_encode_and_all_query_export,6,offline_CPU_including_IO_not_deployable_latency,4.0564
sift128,17,official_encode_and_all_query_export,7,offline_CPU_including_IO_not_deployable_latency,3.17037
sift128,17,official_encode_and_all_query_export,8,offline_CPU_including_IO_not_deployable_latency,4.89541
sift128,17,official_encode_and_all_query_export,9,offline_CPU_including_IO_not_deployable_latency,3.22054
sift128,29,database_model,,offline_CPU_not_query_latency,2.7884681469295174
sift128,29,probe_fit_and_sketch,,offline_CPU_not_query_latency,7.192832480184734
sift128,29,official_encode_and_all_query_export,1,offline_CPU_including_IO_not_deployable_latency,0.542629
sift128,29,official_encode_and_all_query_export,2,offline_CPU_including_IO_not_deployable_latency,1.90276
sift128,29,official_encode_and_all_query_export,3,offline_CPU_including_IO_not_deployable_latency,2.45124
sift128,29,official_encode_and_all_query_export,4,offline_CPU_including_IO_not_deployable_latency,3.54978
sift128,29,official_encode_and_all_query_export,5,offline_CPU_including_IO_not_deployable_latency,2.83887
sift128,29,official_encode_and_all_query_export,6,offline_CPU_including_IO_not_deployable_latency,4.02432
sift128,29,official_encode_and_all_query_export,7,offline_CPU_including_IO_not_deployable_latency,2.97347
sift128,29,official_encode_and_all_query_export,8,offline_CPU_including_IO_not_deployable_latency,5.40629
sift128,29,official_encode_and_all_query_export,9,offline_CPU_including_IO_not_deployable_latency,2.90389
sift128,43,database_model,,offline_CPU_not_query_latency,1.638170522870496
sift128,43,probe_fit_and_sketch,,offline_CPU_not_query_latency,16.732142173219472
sift128,43,official_encode_and_all_query_export,1,offline_CPU_including_IO_not_deployable_latency,0.551497
sift128,43,official_encode_and_all_query_export,2,offline_CPU_including_IO_not_deployable_latency,2.05043
sift128,43,official_encode_and_all_query_export,3,offline_CPU_including_IO_not_deployable_latency,2.68277
sift128,43,official_encode_and_all_query_export,4,offline_CPU_including_IO_not_deployable_latency,3.7556
sift128,43,official_encode_and_all_query_export,5,offline_CPU_including_IO_not_deployable_latency,3.09781
sift128,43,official_encode_and_all_query_export,6,offline_CPU_including_IO_not_deployable_latency,3.97659
sift128,43,official_encode_and_all_query_export,7,offline_CPU_including_IO_not_deployable_latency,3.0557
sift128,43,official_encode_and_all_query_export,8,offline_CPU_including_IO_not_deployable_latency,4.86774
sift128,43,official_encode_and_all_query_export,9,offline_CPU_including_IO_not_deployable_latency,2.98217
gist960,17,database_model,,offline_CPU_not_query_latency,17.204915848793462
gist960,17,probe_fit_and_sketch,,offline_CPU_not_query_latency,53.916914778994396
gist960,17,official_encode_and_all_query_export,1,offline_CPU_including_IO_not_deployable_latency,1.82319
gist960,17,official_encode_and_all_query_export,2,offline_CPU_including_IO_not_deployable_latency,8.54722
gist960,17,official_encode_and_all_query_export,3,offline_CPU_including_IO_not_deployable_latency,11.1686
gist960,17,official_encode_and_all_query_export,4,offline_CPU_including_IO_not_deployable_latency,16.691
gist960,29,database_model,,offline_CPU_not_query_latency,23.68121976288967
gist960,29,probe_fit_and_sketch,,offline_CPU_not_query_latency,71.59397567994893
gist960,29,official_encode_and_all_query_export,1,offline_CPU_including_IO_not_deployable_latency,1.99913
gist960,29,official_encode_and_all_query_export,2,offline_CPU_including_IO_not_deployable_latency,8.56957
gist960,29,official_encode_and_all_query_export,3,offline_CPU_including_IO_not_deployable_latency,10.7326
gist960,29,official_encode_and_all_query_export,4,offline_CPU_including_IO_not_deployable_latency,16.6075
gist960,43,database_model,,offline_CPU_not_query_latency,19.23278255201876
gist960,43,probe_fit_and_sketch,,offline_CPU_not_query_latency,153.91492369002663
gist960,43,official_encode_and_all_query_export,1,offline_CPU_including_IO_not_deployable_latency,1.76293
gist960,43,official_encode_and_all_query_export,2,offline_CPU_including_IO_not_deployable_latency,8.67336
gist960,43,official_encode_and_all_query_export,3,offline_CPU_including_IO_not_deployable_latency,10.736
gist960,43,official_encode_and_all_query_export,4,offline_CPU_including_IO_not_deployable_latency,16.4535
